timestamp,throughput,loss_rate,rtt
0,6.66,0.017,73.81
1,7.6,0.032,120.73
2,5.54,0.015,90.79
3,7.36,0.046,130.79
4,6.17,0.058,95.85
5,6.38,0.084,48.62
6,3.17,0.029,141.26
7,7.68,0.09,82.63
8,8.38,0.054,120.86
9,6.22,0.007,132.95
10,9.24,0.054,86.56
11,7.91,0.068,90.9
12,4.75,0.024,51.34
13,6.26,0.064,134.76
14,5.53,0.06,99.25
15,6.98,0.035,125.44
16,8.66,0.084,148.04
17,5.32,0.003,68.93
18,6.66,0.092,81.67
19,3.59,0.039,111.06
20,7.03,0.078,30.7
21,6.54,0.081,50.27
22,8.91,0.006,103.31
23,9.49,0.072,107.0
24,7.16,0.076,56.03
25,3.14,0.004,76.13
26,3.51,0.007,41.76
27,5.85,0.077,63.68
28,5.09,0.05,145.41
29,6.89,0.06,123.46
30,3.08,0.062,63.76
31,3.27,0.036,94.94
32,8.36,0.028,119.62
33,5.64,0.008,123.74
34,3.0,0.026,59.32
35,4.0,0.061,134.39
36,8.4,0.061,88.36
37,8.73,0.093,91.83
38,7.16,0.091,35.99
39,4.19,0.038,95.39
40,7.81,0.064,131.01
41,9.53,0.054,123.3
42,6.81,0.073,32.91
43,3.28,0.044,68.01
44,3.99,0.051,114.12
45,9.12,0.011,136.33
46,5.48,0.091,48.88
47,5.91,0.011,56.25
48,8.87,0.089,106.99
49,3.6,0.055,45.7
50,9.91,0.099,32.06
51,7.15,0.029,32.56
52,8.58,0.007,72.85
53,8.55,0.055,128.8
54,8.83,0.096,107.6
55,5.01,0.023,138.11
56,5.3,0.095,91.24
57,8.48,0.042,55.62
58,9.43,0.08,127.54
59,4.91,0.001,71.66
