timestamp,throughput,loss_rate,rtt
0,8.53,0.032,143.19
1,5.72,0.066,44.35
2,8.38,0.047,48.96
3,6.11,0.063,64.99
4,8.27,0.049,79.41
5,4.05,0.095,139.64
6,4.76,0.082,46.62
7,3.15,0.07,48.47
8,4.67,0.049,99.1
9,5.01,0.074,45.81
10,7.26,0.06,45.69
11,7.68,0.078,123.6
12,9.26,0.002,74.57
13,8.74,0.076,80.76
14,3.8,0.043,62.49
15,6.04,0.083,46.5
16,4.05,0.062,80.56
17,5.08,0.0,119.87
18,5.31,0.049,98.77
19,6.42,0.045,38.87
20,7.45,0.004,57.79
21,4.54,0.053,57.77
22,6.55,0.054,74.62
23,6.76,0.037,128.45
24,3.92,0.078,105.71
25,4.24,0.068,83.26
26,7.79,0.043,118.9
27,4.1,0.082,115.41
28,9.01,0.004,100.87
29,3.86,0.083,54.42
30,5.2,0.056,105.97
31,9.69,0.066,47.58
32,4.85,0.051,36.33
33,4.16,0.048,104.66
34,4.62,0.042,85.86
35,7.84,0.001,86.5
36,5.71,0.016,91.18
37,8.68,0.054,53.21
38,3.37,0.059,71.51
39,9.06,0.001,116.46
40,7.98,0.028,38.88
41,6.24,0.004,120.34
42,3.49,0.083,71.19
43,5.88,0.072,57.44
44,8.09,0.075,67.51
45,5.63,0.09,36.38
46,8.3,0.055,43.09
47,7.06,0.003,124.88
48,7.95,0.027,57.2
49,8.14,0.038,126.33
50,5.34,0.096,32.97
51,5.19,0.012,50.55
52,7.91,0.0,35.5
53,9.56,0.043,47.51
54,9.34,0.098,79.17
55,6.75,0.083,107.2
56,8.15,0.055,145.48
57,6.11,0.056,37.68
58,4.03,0.092,40.48
59,9.76,0.064,87.43
