timestamp,throughput,loss_rate,rtt
0,9.37,0.067,53.65
1,4.83,0.051,92.62
2,4.73,0.1,91.17
3,4.33,0.014,144.32
4,7.94,0.03,65.92
5,9.92,0.005,95.74
6,3.11,0.097,76.51
7,3.55,0.007,55.32
8,6.03,0.019,85.36
9,6.02,0.038,64.51
10,4.67,0.086,48.2
11,4.38,0.09,142.4
12,4.25,0.073,50.05
13,3.61,0.037,106.57
14,9.27,0.031,58.2
15,5.86,0.014,62.87
16,7.34,0.049,70.84
17,5.76,0.024,147.17
18,6.21,0.083,48.48
19,6.62,0.085,110.41
20,6.12,0.075,142.06
21,5.87,0.099,54.88
22,8.46,0.064,67.28
23,3.99,0.06,81.16
24,6.31,0.042,129.03
25,5.87,0.082,105.53
26,4.02,0.011,49.26
27,6.96,0.046,76.99
28,8.42,0.007,144.15
29,7.55,0.041,129.81
30,5.52,0.043,69.0
31,7.57,0.023,101.96
32,8.81,0.016,60.77
33,8.51,0.056,93.49
34,8.32,0.071,96.07
35,8.79,0.059,34.11
36,7.66,0.052,51.24
37,5.05,0.065,92.04
38,6.4,0.022,77.36
39,4.25,0.071,126.41
40,3.28,0.079,92.65
41,4.27,0.091,94.82
42,9.53,0.058,131.19
43,8.45,0.073,63.87
44,4.55,0.083,86.01
45,6.39,0.05,133.27
46,5.46,0.01,62.11
47,5.11,0.033,52.35
48,7.01,0.052,126.93
49,3.05,0.056,126.85
50,8.79,0.026,103.32
51,5.77,0.054,72.15
52,8.87,0.096,55.61
53,9.63,0.087,64.95
54,8.78,0.025,146.93
55,7.37,0.004,86.13
56,3.99,0.069,30.32
57,9.65,0.098,145.44
58,3.03,0.058,103.03
59,4.29,0.039,56.2
