timestamp,throughput,loss_rate,rtt
0,4.1,0.002,87.0
1,4.05,0.006,139.89
2,7.59,0.003,91.28
3,9.61,0.046,37.04
4,6.59,0.015,73.46
5,7.96,0.07,149.32
6,6.37,0.073,112.49
7,7.96,0.097,122.35
8,4.62,0.05,125.69
9,7.02,0.022,118.94
10,3.54,0.077,90.3
11,9.87,0.073,47.04
12,7.54,0.043,33.55
13,3.52,0.042,143.27
14,4.63,0.013,92.95
15,6.4,0.048,127.91
16,5.62,0.075,103.56
17,5.56,0.086,146.4
18,7.22,0.012,52.24
19,7.58,0.04,84.09
20,7.07,0.07,36.03
21,5.88,0.064,47.74
22,6.93,0.066,55.63
23,9.69,0.044,137.47
24,6.46,0.057,124.48
25,5.13,0.055,119.82
26,7.56,0.029,83.41
27,9.67,0.074,95.31
28,7.76,0.081,87.07
29,9.01,0.043,79.1
30,3.51,0.091,87.07
31,9.88,0.08,81.63
32,6.29,0.041,115.48
33,8.67,0.053,136.92
34,3.27,0.071,60.16
35,9.73,0.086,38.66
36,3.29,0.057,74.89
37,7.41,0.035,143.08
38,4.39,0.051,118.54
39,5.7,0.068,64.04
40,3.19,0.049,73.77
41,3.78,0.078,51.42
42,4.86,0.039,137.91
43,8.09,0.048,48.75
44,3.61,0.017,100.6
45,9.15,0.057,121.32
46,7.32,0.002,105.33
47,9.2,0.012,136.71
48,9.21,0.068,93.4
49,8.24,0.009,110.92
50,3.14,0.008,59.52
51,9.95,0.09,127.14
52,9.62,0.083,79.41
53,4.4,0.025,96.44
54,8.89,0.061,35.22
55,5.91,0.079,143.56
56,6.29,0.089,139.19
57,5.18,0.021,69.01
58,4.81,0.013,108.96
59,4.27,0.065,135.23
